ticker,name,gics_sector,gics_sub_industry,hq,eodhd_ticker
ALG,Alamo Group,Industrials,Construction Machinery & Heavy Transportation Equipment,"Seguin, Texas",ALG.US
ALGT,Allegiant Travel Company,Industrials,Passenger Airlines,"Summerlin, Nevada",ALGT.US
ALKS,Alkermes plc,Health Care,Pharmaceuticals,"Dublin, Ireland",ALKS.US
ALRM,"Alarm.Com, Inc.",Financials,Application Software,"Tysons, Virginia",ALRM.US
AMN,"Amn Healthcare Services, Inc.",Health Care,Health Care Services,"Dallas, Texas",AMN.US
AMPH,"Amphstar Pharmaceuticals, Inc.",Health Care,Pharmaceuticals,"Rancho Cucamonga, California",AMPH.US
AMR,"Alpha Metallurgical Resources, Inc.",Materials,Steel,"Bristol, Tennessee",AMR.US
AMRX,Amneal Pharmaceuticals,Health Care,Pharmaceuticals,"Bridgewater Township, New Jersey",AMRX.US
AMSF,"Amerisafe, Inc.",Financials,Property & Casualty Insurance,"DeRidder, Louisiana",AMSF.US
AMTM,Amentum,Industrials,Diversified Support Services,"Chantilly, Virginia",AMTM.US
AMWD,American Woodmark Corp.,Industrials,Building Products,"Winchester, Virginia",AMWD.US
ANDE,"The Andersons, Inc.",Consumer Staples,Food Distributors,"Maumee, Ohio",ANDE.US
ANIP,"ANI Pharmaceuticals, Inc.",Health Care,Pharmaceuticals,"Baudette, Minnesota",ANIP.US
AORT,Artivion,Health Care,Health Care Equipment,"Kennesaw, Georgia",AORT.US
AOSL,"Alpha and Omega Semiconductor, Ltd.",Information Technology,Semiconductors,"Sunnyvale, California",AOSL.US
APAM,"Artisan Partners Asset Management, Inc.",Financials,Asset Management & Custody Banks,"Milwaukee, Wisconsin",APAM.US
APLE,"Apple Hospitality REIT, Inc.",Real Estate,Hotel & Resort REITs,"Richmond, Virginia",APLE.US
APLS,"Apellis Pharmaceuticals, Inc.",Health Care,Pharmaceuticals,"Waltham, Massachusetts",APLS.US
APOG,"Apogee Enterprises, Inc.",Industrials,Building Products,"Minneapolis, Minnesota",APOG.US
ARCB,ArcBest Corp.,Industrials,Cargo Ground Transportation,"Fort Smith, Arkansas",ARCB.US
ARI,Apollo Commercial Real Estate Finance,Real Estate,Mortgage REITs,"New York City, New York",ARI.US
ARLO,Arlo Technologies,Information Technology,Communications Equipment,"San Jose, California",ARLO.US
AROC,"Archrock, Inc.",Energy,Oil & Gas Equipment & Services,"Houston, Texas",AROC.US
ARR,Armour Residential REIT,Real Estate,Mortgage REITs,"Vero Beach, Florida",ARR.US
ASGN,ASGN Inc.,Information Technology,IT Consulting & Other Services,"Glen Allen, Virginia",ASGN.US
ASO,Academy Sports + Outdoors,Consumer Discretionary,Specialty Stores,"Harris County, Texas",ASO.US
ASTE,"Astec Industries, Inc.",Industrials,Construction Machinery & Heavy Transportation Equipment,"Chattanooga, Tennessee",ASTE.US
ASTH,"Astrana Health, Inc.",Health Care,Health Care Facilities,"Alhambra, California",ASTH.US
ATEN,"A10 Networks, Inc.",Information Technology,Systems Software,"San Jose, California",ATEN.US
ATMU,Atmus Filtration Technologies Inc.,Industrials,Industrial Machinery & Supplies & Components,"Nashville, Tennessee",ATMU.US
AUB,"Atlantic Union Bankshares, Corp.",Financials,Regional Banks,"Richmond, Virginia",AUB.US
AVA,Avista Corporation,Utilities,Multi-Utilities,"Spokane, Washington",AVA.US
AVNS,"Avanos Medical, Inc.",Health Care,Health Care Supplies,"Alpharetta, Georgia",AVNS.US
AWI,"Armstrong World Industries, Inc.",Industrials,Building Products,"Lancaster, Pennsylvania",AWI.US
AWR,American States Water Company,Utilities,Water Utilities,"San Dimas, California",AWR.US
AX,"Axos Financial, Inc.",Financials,Regional Banks,"Las Vegas, Nevada",AX.US
AZTA,"Azenta, Inc.",Health Care,Life Sciences Tools & Services,"Chelmsford, Massachusetts",AZTA.US
AZZ,"AZZ, Inc.",Industrials,Heavy Electrical Equipment,"Fort Worth, Texas",AZZ.US
BANC,"Banc Of California, Inc.",Financials,Regional Banks,"Santa Ana, California",BANC.US
BANF,Bancfirst Corp,Financials,Regional Banks,"Oklahoma City, Oklahoma",BANF.US
BANR,Banner Corporation,Financials,Regional Banks,"Walla Walla, Washington",BANR.US
BBT,Beacon Financial Corp.,Financials,Regional Banks,"Boston, Massachusetts",BBT.US
BCC,Boise Cascade,Industrials,Building Products,"Boise, Idaho",BCC.US
BCPC,Balchem Corporation,Materials,Specialty Chemicals,"Montvale, New Jersey",BCPC.US
BFH,"Bread Financial Holdings, Inc.",Financials,Consumer Finance,"Columbus, Ohio",BFH.US
BFS,"Saul Centers, Inc.",Real Estate,Retail REITs,"Bethesda, Maryland",BFS.US
BGC,"BGC Group, Inc.",Financials,Investment Banking & Brokerage,"New York City, New York",BGC.US
BHE,"Benchmark Electronics, Inc.",Information Technology,Electronic Manufacturing Services,"Tempe, Arizona",BHE.US
BJRI,"BJ's Restaurants, Inc.",Consumer Discretionary,Restaurants,"Huntington Beach, California",BJRI.US
BKE,"The Buckle, Inc.",Consumer Discretionary,Apparel Retail,"Kearney, Nebraska",BKE.US
BKU,"BankUnited, Inc.",Financials,Regional Banks,"Miami Lakes, Florida",BKU.US
BL,"BlackLine Systems, Inc.",Information Technology,Application Software,"Los Angeles, California",BL.US
BLFS,"BioLife Solutions, Inc.",Health Care,Health Care Supplies,"Bothell, Washington",BLFS.US
BMI,"Badger Meter, Inc.",Information Technology,Electronic Equipment & Instruments,"Milwaukee, Wisconsin",BMI.US
BNL,"Broadstone Net Lease, Inc.",Real Estate,Industrial REITs,"Victor, New York",BNL.US
BOH,Bank of Hawaii,Financials,Regional Banks,"Honolulu, Hawaii",BOH.US
BOOT,"Boot Barn Holdings, Inc.",Consumer Discretionary,Apparel Retail,"Irvine, California",BOOT.US
BOX,"Box, Inc.",Information Technology,Application Software,"Redwood City, California",BOX.US
BRC,Brady Corporation,Industrials,Commercial Printing,"Milwaukee, Wisconsin",BRC.US
BTSG,"BrightSpring Health Services, Inc.",Health Care,Health Care Services,"Louisville, Kentucky",BTSG.US
BTU,"Peabody Energy, Inc.",Energy,Coal & Consumable Fuels,"St. Louis, Missouri",BTU.US
BXMT,"Blackstone Mortgage Trust, Inc.",Financials,Mortgage REITs,"New York City, New York",BXMT.US
CABO,Cable One,Communication Services,Cable & Satellite,"Phoenix, Arizona",CABO.US
CAKE,"The Cheesecake Factory, Inc.",Consumer Discretionary,Restaurants,"Calabasas, California",CAKE.US
CALM,"Cal-Maine Foods, Inc.",Consumer Staples,Packaged Foods & Meats,"Jackson, Mississippi",CALM.US
CALX,Calix,Information Technology,Application Software,"San Jose, California",CALX.US
CALY,Callaway Golf Company,Consumer Discretionary,Leisure Products,"Carlsbad, California",CALY.US
CARG,CarGurus,Communication Services,Interactive Media & Services,"Cambridge, Massachusetts",CARG.US
CASH,"Pathward Financial, Inc.",Financials,Regional Banks,"Sioux Falls, South Dakota",CASH.US
CATY,Cathay General Bancorp,Financials,Regional Banks,"Los Angeles, California",CATY.US
CBRL,Cracker Barrel,Consumer Discretionary,Restaurants,"Lebanon, Tennessee",CBRL.US
CBU,"Community Bank System, Inc.",Financials,Regional Banks,"DeWitt, New York",CBU.US
CC,Chemours,Materials,Diversified Chemicals,"Wilmington, Delaware",CC.US
CCOI,"Cogent Communications Holdings, Inc.",Communication Services,Alternative Carriers,"Washington, D.C.",CCOI.US
CCS,"Century Communities, Inc.",Consumer Discretionary,Homebuilding,"Greenwood Village, Colorado",CCS.US
CE,Celanese,Materials,Specialty Chemicals,"Irving, Texas",CE.US
CENT,Central Garden & Pet Company,Consumer Staples,Household Products,"Walnut Creek, California",CENT.US
CENTA,Central Garden & Pet Company (Class A),Consumer Staples,Household Products,"Walnut Creek, California",CENTA.US
CENX,Century Aluminum Company,Materials,Aluminum,"Chicago, Illinois",CENX.US
CERT,"Certara, Inc.",Health Care,Health Care Technology,"Princeton, New Jersey",CERT.US
CFFN,Capitol Federal Savings Bank,Financials,Regional Banks,"Topeka, Kansas",CFFN.US
CHCO,City Holding Company,Financials,Regional Banks,"Charleston, West Virginia",CHCO.US
CHEF,"Chefs' Warehouse, Inc.",Consumer Staples,Food Distributors,"Ridgefield, Connecticut",CHEF.US
CLB,Core Laboratories,Energy,Oil & Gas Equipment & Services,"Houston, Texas",CLB.US
CLSK,"CleanSpark, Inc.",Information Technology,Internet Services & Infrastructure,"Henderson, Nevada",CLSK.US
CNK,"Cinemark Holdings, Inc.",Communication Services,Movies & Entertainment,"Plano, Texas",CNK.US
CNMD,CONMED Corporation,Health Care,Health Care Equipment,"Largo, Florida",CNMD.US
CNR,"Core Natural Resources, Inc.",Energy,Coal & Consumable Fuels,"Cecil Township, Pennsylvania",CNR.US
CNS,"Cohen & Steers, Inc.",Financials,Asset Management & Custody Banks,"New York City, New York",CNS.US
CNXN,"PC Connection, Inc.",Information Technology,Technology Distributors,"Merrimack, New Hampshire",CNXN.US
COCO,The Vita Coco Company,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"New York City, New York",COCO.US
COHU,"Cohu, Inc.",Information Technology,Semiconductor Materials & Equipment,"Poway, California",COHU.US
COLL,"Collegium Pharmaceutical, Inc.",Health Care,Pharmaceuticals,"Stoughton, Massachusetts",COLL.US
CON,"Concentra Group Holdings Parent, Inc.",Health Care,Health Care Services,"Mechanicsburg, Pennsylvania",CON.US
CORT,Corcept Therapeutics Incorporated,Health Care,Pharmaceuticals,"Menlo Park, California",CORT.US
CPF,Central Pacific Financial Corp.,Financials,Regional Banks,"Honolulu, Hawaii",CPF.US
CPK,Chesapeake Utilities Corp.,Utilities,Gas Utilities,"Dover, Delaware",CPK.US
CPRX,"Catalyst Pharmaceuticals Partners, Inc.",Health Care,Biotechnology,"Coral Gables, Florida",CPRX.US
CRC,California Resources Corporation,Energy,Oil & Gas Exploration & Production,"Los Angeles, California",CRC.US
CRGY,Crescent Energy Company,Energy,Oil & Gas Exploration & Production,"Houston, Texas",CRGY.US
CRI,"Carter's, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Atlanta, Georgia",CRI.US
CRK,"Comstock Resources, Inc.",Energy,Oil & Gas Exploration & Production,"Frisco, Texas",CRK.US
CRSR,Corsair Gaming,Information Technology,"Technology Hardware, Storage & Peripherals","Milpitas, California",CRSR.US
CRVL,CorVel Corporation,Health Care,Health Care Services,"Irvine, California",CRVL.US
CSGS,"CSG Systems International, Inc.",Industrials,Data Processing & Outsourced Services,"Greenwood Village, Colorado",CSGS.US
CSR,Centerspace Trust,Real Estate,Multi-Family Residential REITs,"Minot, North Dakota",CSR.US
CSW,"CSW Industrials, Inc.",Industrials,Industrial Conglomerates,"Dallas, Texas",CSW.US
CTKB,"Cytek Biosciences, Inc.",Health Care,Health Care Equipment,"Fremont, California",CTKB.US
CTS,CTS Corporation,Information Technology,Electronic Manufacturing Services,"Lisle, Illinois",CTS.US
CUBI,"Customers Bancorp, Inc.",Financials,Regional Banks,"Reading, Pennsylvania",CUBI.US
CURB,Curbline Properties Corp.,Real Estate,Retail REITs,"New York City, New York",CURB.US
CVBF,CVB Financial Corp.,Financials,Regional Banks,"Ontario, California",CVBF.US
CVCO,"Cavco Industries, Inc.",Consumer Discretionary,Homebuilding,"Phoenix, Arizona",CVCO.US
CVI,"CVR Energy, Inc.",Energy,Oil & Gas Refining & Marketing,"Sugar Land, Texas",CVI.US
CVSA,Covista Inc.,Consumer Discretionary,Education Services,"Chicago, Illinois",CVSA.US
CWEN,"Clearway Energy, Inc. (Class C)",Utilities,Renewable Electricity,"Princeton, New Jersey",CWEN.US
CWEN.A,"Clearway Energy, Inc. (Class A)",Utilities,Renewable Electricity,"Princeton, New Jersey",CWEN-A.US
CWK,Cushman & Wakefield plc,Real Estate,Real Estate Services,"Chicago, Illinois",CWK.US
CWST,"Casella Waste Systems, Inc.",Industrials,Environmental & Facilities Services,"Rutland, Vermont",CWST.US
CWT,California Water Service Group,Utilities,Water Utilities,"San Jose, California",CWT.US
CXM,"Sprinklr, Inc.",Information Technology,Application Software,"New York City, New York",CXM.US
CXW,CoreCivic,Industrials,Diversified Support Services,"Brentwood, Tennessee",CXW.US
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",CZR.US
DAN,Dana Incorporated,Consumer Discretionary,Automotive Parts & Equipment,"Maumee, Ohio",DAN.US
DBD,Diebold Nixdorf,Information Technology,Electronic Equipment & Instruments,"North Canton, Ohio",DBD.US
DCH,Dauch Corporation,Consumer Discretionary,Automotive Parts & Equipment,"Detroit, Michigan",DCH.US
DCOM,"Dime Community Bancshares, Inc.",Financials,Regional Banks,"Hauppauge, New York",DCOM.US
DEA,"Easterly Government Properties, Inc.",Real Estate,Office REITs,"Washington, D.C.",DEA.US
DEI,Douglas Emmett,Real Estate,Office REITs,"Santa Monica, California",DEI.US
DFH,"Dream Finders Homes, Inc.",Consumer Discretionary,Homebuilding,"Jacksonville, Florida",DFH.US
DFIN,"Donnelley Financial Solutions, Inc.",Financials,Financial Exchanges & Data,"Chicago, Illinois",DFIN.US
DGII,Digi International Inc.,Information Technology,Communications Equipment,"Hopkins, Minnesota",DGII.US
DIOD,Diodes Incorporated,Information Technology,Semiconductors,"Plano, Texas",DIOD.US
DLX,Deluxe Corporation,Industrials,Commercial Printing,"Minneapolis, Minnesota",DLX.US
DNOW,NOW Inc,Industrials,Trading Companies & Distributors,"Houston, Texas",DNOW.US
DORM,"Dorman Products, Inc.",Consumer Discretionary,Automotive Parts & Equipment,"Colmar, Pennsylvania",DORM.US
DRH,DiamondRock Hospitality Company,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",DRH.US
DV,"DoubleVerify Holdings, Inc.",Communication Services,Advertising,"New York City, New York",DV.US
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,"Ashburn, Virginia",DXC.US
DXPE,"DXP Enterprises, Inc.",Industrials,Trading Companies & Distributors,"Houston, Texas",DXPE.US
EAT,"Brinker International, Inc.",Consumer Discretionary,Restaurants,"Dallas, Texas",EAT.US
ECG,"Everus Construction Group, Inc.",Industrials,Construction & Engineering,"Bismarck, North Dakota",ECG.US
ECPG,"Encore Capital Group, Inc.",Financials,Consumer Finance,"San Diego, California",ECPG.US
EFC,"Ellington Financial, Inc.",Financials,Specialized Finance,"Greenwich, Connecticut",EFC.US
EGBN,Eagle Bancorp Inc,Financials,Regional Banks,"Bethesda, Maryland",EGBN.US
EIG,"Employers Holdings, Inc.",Financials,Property & Casualty Insurance,"Henderson, Nevada",EIG.US
EMBC,Embecta Corp.,Health Care,Health Care Equipment,"Parsippany, New Jersey",EMBC.US
EMN,Eastman Chemical Company,Materials,Specialty Chemicals,"Kingsport, Tennessee",EMN.US
ENOV,Enovis,Health Care,Health Care Equipment,"Wilmington, Delaware",ENOV.US
ENPH,Enphase Energy,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",ENPH.US
ENR,Energizer,Consumer Staples,Household Products,"St. Louis, Missouri",ENR.US
ENVA,"Enova International, Inc.",Financials,Consumer Finance,"Chicago, Illinois",ENVA.US
EPAC,Enerpac Tool Group,Industrials,Industrial Machinery & Supplies & Components,"Menomonee Falls, Wisconsin",EPAC.US
EPC,Edgewell Personal Care,Consumer Staples,Household Products,"Shelton, Connecticut",EPC.US
EPRT,"Essential Properties Realty Trust, Inc.",Real Estate,Diversified REITs,"Princeton, New Jersey",EPRT.US
ESE,ESCO Technologies Inc.,Industrials,Industrial Machinery & Supplies & Components,"St. Louis, Missouri",ESE.US
ESI,Element Solutions,Materials,Specialty Chemicals,"Fort Lauderdale, Florida",ESI.US
ETD,"Ethan Allen Interiors, Inc.",Consumer Discretionary,Home Furnishings,"Danbury, Connecticut",ETD.US
ETSY,Etsy,Consumer Discretionary,Broadline Retail,"New York City, New York",ETSY.US
EVTC,"EVERTEC, Inc.",Financials,Transaction & Payment Processing Services,"San Juan, Puerto Rico",EVTC.US
EXPI,"eXp World Holdings, Inc.",Real Estate,Real Estate Services,"Bellingham, Washington",EXPI.US
EXTR,"Extreme Networks, Inc.",Information Technology,Communications Equipment,"Morrisville, North Carolina",EXTR.US
EYE,National Vision Holdings,Consumer Discretionary,Specialty Stores,"Duluth, Georgia",EYE.US
EZPW,"EZCORP, Inc.",Financials,Consumer Finance,"Austin, Texas",EZPW.US
FBK,FB Financial Corp.,Financials,Regional Banks,"Nashville, Tennessee",FBK.US
FBNC,First Bancorp (Southern Pines NC),Financials,Regional Banks,"Southern Pines, North Carolina",FBNC.US
FBP,First BanCorp (Puerto Rico),Financials,Regional Banks,"San Juan, Puerto Rico",FBP.US
FBRT,"Franklin BSP Realty Trust, Inc.",Real Estate,Mortgage REITs,"New York City, New York",FBRT.US
FCF,"First Commonwealth Financial, Corp.",Financials,Regional Banks,"Indiana, Pennsylvania",FCF.US
FCPT,"Four Corners Property Trust, Inc.",Real Estate,Other Specialized REITs,"Mill Valley, California",FCPT.US
FDP,"Fresh Del Monte Produce, Inc.",Consumer Staples,Packaged Foods & Meats,"Coral Gables, Florida",FDP.US
FELE,Franklin Electric,Industrials,Industrial Machinery & Supplies & Components,"Fort Wayne, Indiana",FELE.US
FFBC,First Financial Bancorp.,Financials,Regional Banks,"Cincinnati, Ohio",FFBC.US
FHB,"First Hawaiian, Inc.",Financials,Regional Banks,"Honolulu, Hawaii",FHB.US
FIBK,"First Interstate BancSystem, Inc.",Financials,Regional Banks,"Billings, Montana",FIBK.US
FIZZ,National Beverage Corp.,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Fort Lauderdale, Florida",FIZZ.US
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",FMC.US
FORM,"FormFactor, Inc.",Information Technology,Semiconductor Materials & Equipment,"Livermore, California",FORM.US
FOXF,Fox Factory,Consumer Discretionary,Automotive Parts & Equipment,"Duluth, Georgia",FOXF.US
FRPT,Freshpet,Consumer Staples,Packaged Foods & Meats,"Bedminster, New Jersey",FRPT.US
FSS,Federal Signal Corporation,Industrials,Construction Machinery & Heavy Transportation Equipment,"Oak Brook, Illinois",FSS.US
FTDR,"Frontdoor, Inc.",Consumer Discretionary,Specialized Consumer Services,"Memphis, Tennessee",FTDR.US
FTRE,Fortrea,Health Care,Biotechnology,"Durham, North Carolina",FTRE.US
FUL,H.B. Fuller Company,Materials,Specialty Chemicals,"Vadnais Heights, Minnesota",FUL.US
FULT,Fulton Financial Corporation,Financials,Regional Banks,"Lancaster, Pennsylvania",FULT.US
FUN,Six Flags,Consumer Discretionary,Leisure Facilities,"Charlotte, North Carolina",FUN.US
FWRD,Forward Air Corp.,Industrials,Air Freight & Logistics,"Greeneville, Tennessee",FWRD.US
GBX,"The Greenbrier Companies, Inc.",Industrials,Construction Machinery & Heavy Transportation Equipment,"Lake Oswego, Oregon",GBX.US
GDEN,Golden Entertainment,Consumer Discretionary,Casinos & Gaming,"Enterprise, Nevada",GDEN.US
GDYN,"Grid Dynamics Holdings, Inc.",Information Technology,IT Consulting & Other Services,"San Ramon, California",GDYN.US
GEO,"GEO Group, Inc.",Industrials,Environmental & Facilities Services,"Boca Raton, Florida",GEO.US
GFF,Griffon Corporation,Industrials,Building Products,"New York City, New York",GFF.US
GIII,"G-III Apparel Group, Ltd.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",GIII.US
GKOS,Glaukos Corp.,Health Care,Health Care Equipment,"San Clemente, California",GKOS.US
GNL,"Global Net Lease, Inc.",Real Estate,Diversified REITs,"New York City, New York",GNL.US
GNW,"Genworth Financial, Inc.",Financials,Multi-line Insurance,"Henrico County, Virginia",GNW.US
GO,Grocery Outlet,Consumer Staples,Food Retail,"Emeryville, California",GO.US
GOGO,"Gogo, Inc.",Communication Services,Wireless Telecommunication Services,"Broomfield, Colorado",GOGO.US
GOLF,Acushnet Company,Consumer Discretionary,Leisure Products,"Fairhaven, Massachusetts",GOLF.US
GPI,"Group 1 Automotive, Inc.",Consumer Discretionary,Automotive Retail,"Houston, Texas",GPI.US
GRBK,"Green Brick Partners, Inc.",Consumer Discretionary,Homebuilding,"Plano, Texas",GRBK.US
GSHD,"Goosehead Insurance, Inc.",Financials,Insurance Brokers,"Westlake, Texas",GSHD.US
GTES,Gates Corporation,Industrials,Industrial Machinery & Supplies & Components,"Denver, Colorado",GTES.US
GTM,ZoomInfo,Communication Services,Interactive Media & Services,"Vancouver, Washington",GTM.US
GTY,Getty Realty Corp.,Real Estate,Retail REITs,"New York City, New York",GTY.US
GVA,"Granite Construction, Inc.",Industrials,Construction & Engineering,"Watsonville, California",GVA.US
HAFC,Hanmi Financial Corporation,Financials,Regional Banks,"Los Angeles, California",HAFC.US
HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",Financials,Specialized Finance,"Annapolis, Maryland",HASI.US
HAYW,"Hayward Holdings, Inc.",Industrials,Electrical Components & Equipment,"Charlotte, North Carolina",HAYW.US
HCC,"Warrior Met Coal, Inc.",Materials,Steel,"Brookwood, Alabama",HCC.US
HCI,"HCI Group, Inc.",Financials,Property & Casualty Insurance,"Tampa, Florida",HCI.US
HCSG,"Healthcare Services Group, Inc.",Industrials,Environmental & Facilities Services,"Bensalem Township, Pennsylvania",HCSG.US
HE,"Hawaiian Electric Industries, Inc.",Utilities,Electric Utilities,"Honolulu, Hawaii",HE.US
HFWA,Heritage Financial Corporation,Health Care,Regional Banks,"Olympia, Washington",HFWA.US
HIW,Highwoods Properties,Real Estate,Office REITs,"Raleigh, North Carolina",HIW.US
HLIT,Harmonic Inc.,Information Technology,Communications Equipment,"San Jose, California",HLIT.US
HLX,"Helix Energy Solutions Group, Inc.",Energy,Oil & Gas Equipment & Services,"Houston, Texas",HLX.US
HMN,Horace Mann Educators Corporation,Financials,Multi-line Insurance,"Springfield, Illinois",HMN.US
HNI,HNI Corporation,Industrials,Office Services & Supplies,"Muscatine, Iowa",HNI.US
HOPE,"Hope Bancorp, Inc.",Financials,Regional Banks,"Los Angeles, California",HOPE.US
HP,"Helmerich & Payne, Inc.",Energy,Oil & Gas Drilling,"Tulsa, Oklahoma",HP.US
HRMY,"Harmony Biosciences Holdings, Inc.",Health Care,Biotechnology,"Plymouth Meeting, Pennsylvania",HRMY.US
HSTM,"HealthStream, Inc.",Health Care,Health Care Technology,"Nashville, Tennessee",HSTM.US
HTH,Hilltop Holdings Inc.,Financials,Regional Banks,"Dallas, Texas",HTH.US
HTLD,"Heartland Express, Inc.",Industrials,Cargo Ground Transportation,"North Liberty, Iowa",HTLD.US
HTO,H2O America,Utilities,Water Utilities,"San Jose, California",HTO.US
HTZ,Hertz,Industrials,Passenger Ground Transportation,"Estero, Florida",HTZ.US
HUBG,"Hub Group, Inc.",Industrials,Air Freight & Logistics,"Oak Brook, Illinois",HUBG.US
HWKN,"Hawkins, Inc.",Materials,Commodity Chemicals,"Roseville, Minnesota",HWKN.US
HZO,"MarineMax, Inc.",Consumer Discretionary,Specialty Stores,"Clearwater, Florida",HZO.US
IAC,IAC Inc.,Communication Services,Publishing,"New York City, New York",IAC.US
IART,Integra Lifesciences Holdings,Health Care,Health Care Equipment,"Princeton, New Jersey",IART.US
IBP,"Installed Building Products, Inc.",Consumer Discretionary,Homebuilding,"Columbus, Ohio",IBP.US
ICHR,"Ichor Holdings, Ltd.",Information Technology,Semiconductor Materials & Equipment,"Fremont, California",ICHR.US
ICUI,ICU Medical,Health Care,Health Care Supplies,"San Clemente, California",ICUI.US
IIIN,"Insteel Industries, Inc.",Industrials,Building Products,"Mount Airy, North Carolina",IIIN.US
IIPR,"Innovative Industrial Properties, Inc.",Real Estate,Industrial REITs,"Park City, Utah",IIPR.US
INDB,Independent Bank Corp.,Financials,Regional Banks,"Rockland, Massachusetts",INDB.US
INDV,Indivior,Health Care,Pharmaceuticals,"Chesterfield County, Virginia",INDV.US
INSP,"Inspire Medical Systems, Inc.",Health Care,Health Care Equipment,"Golden Valley, Minnesota",INSP.US
INSW,"International Seaways, Inc.",Energy,Oil & Gas Storage & Transportation,"New York City, New York",INSW.US
INVA,"Innoviva, Inc.",Health Care,Pharmaceuticals,"Burlingame, California",INVA.US
INVX,"Innovex International, Inc.",Energy,Oil & Gas Equipment & Services,"Houston, Texas",INVX.US
IOSP,"Innospec, Inc.",Materials,Specialty Chemicals,"Englewood, Colorado",IOSP.US
IPAR,"Inter Parfums, Inc.",Consumer Staples,Household Products,"New York City, New York",IPAR.US
IRDM,Iridium Communications,Communication Services,Alternative Carriers,"McLean, Virginia",IRDM.US
ITGR,Integer Holdings Corporation,Health Care,Health Care Equipment,"Plano, Texas",ITGR.US
ITRI,"Itron, Inc.",Information Technology,Electronic Equipment & Instruments,"Liberty Lake, Washington",ITRI.US
JBGS,JBG Smith,Real Estate,Office REITs,"Bethesda, Maryland",JBGS.US
